sample interval	and GSR
            152	 12.042
            153	 12.042
            154	 12.042
            155	 12.042
            156	 12.042
            157	 12.042
            158	 12.042
            159	 12.042
            160	 12.042
            161	 12.034
            162	 12.034
            163	 12.034
            164	 12.034
            165	 12.034
            166	 12.034
            167	 12.034
            168	 12.034
            169	 12.034
            170	 12.034
            171	 12.034
            172	 12.034
            173	 12.027
            174	 12.027
            175	 12.027
            176	 12.027
            177	 12.027
            178	 12.027
            179	 12.027
            180	 12.027
            181	 12.027
            182	 12.027
            183	 12.027
            184	 12.017
            185	 12.017
            186	 12.017
            187	 12.017
            188	 12.017
            189	 12.017
            190	 12.017
            191	 12.017
            192	 12.017
            193	 12.017
            194	 12.017
            195	 12.017
            196	 12.009
            197	 12.009
            198	 12.009
            199	 12.009
            200	 12.009
            201	 12.009
            202	 12.009
            203	 12.009
            204	 12.009
            205	 12.009
            206	 12.009
            207	 12.000
            208	 12.000
            209	 12.000
            210	 12.000
            211	 12.000
            212	 12.000
            213	 12.000
            214	 12.000
            215	 12.000
            216	 12.000
            217	 12.000
            218	 12.000
            219	 11.992
            220	 11.992
            221	 11.992
            222	 11.992
            223	 11.992
            224	 11.992
            225	 11.992
            226	 11.992
            227	 11.992
            228	 11.992
            229	 11.992
            230	 11.985
            231	 11.985
            232	 11.985
            233	 11.985
            234	 11.985
            235	 11.985
            236	 11.985
            237	 11.985
            238	 11.985
            239	 11.985
            240	 11.985
            241	 11.985
            242	 11.977
            243	 11.977
            244	 11.977
            245	 11.977
            246	 11.977
            247	 11.977
            248	 11.977
            249	 11.977
            250	 11.977
            251	 11.977
            252	 11.977
            253	 11.970
            254	 11.970
            255	 11.970
            256	 11.970
            257	 11.970
            258	 11.970
            259	 11.970
            260	 11.970
            261	 11.970
            262	 11.970
            263	 11.970
            264	 11.970
            265	 11.962
            266	 11.962
            267	 11.962
            268	 11.962
            269	 11.962
            270	 11.962
            271	 11.962
            272	 11.962
            273	 11.962
            274	 11.962
            275	 11.962
            276	 11.955
            277	 11.955
            278	 11.955
            279	 11.955
            280	 11.955
            281	 11.955
            282	 11.955
            283	 11.955
            284	 11.955
            285	 11.955
            286	 11.955
            287	 11.955
            288	 11.947
            289	 11.947
            290	 11.947
            291	 11.947
            292	 11.947
            293	 11.947
            294	 11.947
            295	 11.947
            296	 11.947
            297	 11.947
            298	 11.947
            299	 11.940
            300	 11.940
            301	 11.940
            302	 11.940
            303	 11.940
            304	 11.940
            305	 11.940
            306	 11.940
            307	 11.940
            308	 11.940
            309	 11.940
            310	 11.940
            311	 11.935
            312	 11.935
            313	 11.935
            314	 11.935
            315	 11.935
            316	 11.935
            317	 11.935
            318	 11.935
            319	 11.935
            320	 11.935
            321	 11.935
            322	 11.927
            323	 11.927
            324	 11.927
            325	 11.927
            326	 11.927
            327	 11.927
            328	 11.927
            329	 11.927
            330	 11.927
            331	 11.927
            332	 11.927
            333	 11.927
            334	 11.922
            335	 11.922
            336	 11.922
            337	 11.922
            338	 11.922
            339	 11.922
            340	 11.922
            341	 11.922
            342	 11.922
            343	 11.922
            344	 11.922
            345	 11.915
            346	 11.915
            347	 11.915
            348	 11.915
            349	 11.915
            350	 11.915
            351	 11.915
            352	 11.915
            353	 11.915
            354	 11.915
            355	 11.915
            356	 11.915
            357	 11.908
            358	 11.908
            359	 11.908
            360	 11.908
            361	 11.908
            362	 11.908
            363	 11.908
            364	 11.908
            365	 11.908
            366	 11.908
            367	 11.908
            368	 11.903
            369	 11.903
            370	 11.903
            371	 11.903
            372	 11.903
            373	 11.903
            374	 11.903
            375	 11.903
            376	 11.903
            377	 11.903
            378	 11.903
            379	 11.903
            380	 11.898
            381	 11.898
            382	 11.898
            383	 11.898
            384	 11.898
            385	 11.898
            386	 11.898
            387	 11.898
            388	 11.898
            389	 11.898
            390	 11.898
            391	 11.890
            392	 11.890
            393	 11.890
            394	 11.890
            395	 11.890
            396	 11.890
            397	 11.890
            398	 11.890
            399	 11.890
            400	 11.890
            401	 11.890
            402	 11.890
            403	 11.885
            404	 11.885
            405	 11.885
            406	 11.885
            407	 11.885
            408	 11.885
            409	 11.885
            410	 11.885
            411	 11.885
            412	 11.885
            413	 11.885
            414	 11.880
            415	 11.880
            416	 11.880
            417	 11.880
            418	 11.880
            419	 11.880
            420	 11.880
            421	 11.880
            422	 11.880
            423	 11.880
            424	 11.880
            425	 11.880
            426	 11.875
            427	 11.875
            428	 11.875
            429	 11.875
            430	 11.875
            431	 11.875
            432	 11.875
            433	 11.875
            434	 11.875
            435	 11.875
            436	 11.875
            437	 11.870
            438	 11.870
            439	 11.870
            440	 11.870
            441	 11.870
            442	 11.870
            443	 11.870
            444	 11.870
            445	 11.870
            446	 11.870
            447	 11.870
            448	 11.870
            449	 11.863
            450	 11.863
            451	 11.863
            452	 11.863
            453	 11.863
            454	 11.863
            455	 11.863
            456	 11.863
            457	 11.863
            458	 11.863
            459	 11.863
            460	 11.858
            461	 11.858
            462	 11.858
            463	 11.858
            464	 11.858
            465	 11.858
            466	 11.858
            467	 11.858
            468	 11.858
            469	 11.858
            470	 11.858
            471	 11.858
            472	 11.853
            473	 11.853
            474	 11.853
            475	 11.853
            476	 11.853
            477	 11.853
            478	 11.853
            479	 11.853
            480	 11.853
            481	 11.853
            482	 11.853
            483	 11.848
            484	 11.848
            485	 11.848
            486	 11.848
            487	 11.848
            488	 11.848
            489	 11.848
            490	 11.848
            491	 11.848
            492	 11.848
            493	 11.848
            494	 11.848
            495	 11.840
            496	 11.840
            497	 11.840
            498	 11.840
            499	 11.840
            500	 11.840
            501	 11.840
            502	 11.840
            503	 11.840
            504	 11.840
            505	 11.840
            506	 11.835
            507	 11.835
            508	 11.835
            509	 11.835
            510	 11.835
            511	 11.835
            512	 11.835
            513	 11.835
            514	 11.835
            515	 11.835
            516	 11.835
            517	 11.835
            518	 11.831
            519	 11.831
            520	 11.831
            521	 11.831
            522	 11.831
            523	 11.831
            524	 11.831
            525	 11.831
            526	 11.831
            527	 11.831
            528	 11.831
            529	 11.826
            530	 11.826
            531	 11.826
            532	 11.826
            533	 11.826
            534	 11.826
            535	 11.826
            536	 11.826
            537	 11.826
            538	 11.826
            539	 11.826
            540	 11.826
            541	 11.821
            542	 11.821
            543	 11.821
            544	 11.821
            545	 11.821
            546	 11.821
            547	 11.821
            548	 11.821
            549	 11.821
            550	 11.821
            551	 11.821
            552	 11.818
            553	 11.818
            554	 11.818
            555	 11.818
            556	 11.818
            557	 11.818
            558	 11.818
            559	 11.818
            560	 11.818
            561	 11.818
            562	 11.818
            563	 11.818
            564	 11.813
            565	 11.813
            566	 11.813
            567	 11.813
            568	 11.813
            569	 11.813
            570	 11.813
            571	 11.813
            572	 11.813
            573	 11.813
            574	 11.813
            575	 11.808
            576	 11.808
            577	 11.808
            578	 11.808
            579	 11.808
            580	 11.808
            581	 11.808
            582	 11.808
            583	 11.808
            584	 11.808
            585	 11.808
            586	 11.808
            587	 11.803
            588	 11.803
            589	 11.803
            590	 11.803
            591	 11.803
            592	 11.803
            593	 11.803
            594	 11.803
            595	 11.803
            596	 11.803
            597	 11.803
            598	 11.798
            599	 11.798
            600	 11.798
            601	 11.798
            602	 11.798
            603	 11.798
            604	 11.798
            605	 11.798
            606	 11.798
            607	 11.798
            608	 11.798
            609	 11.798
            610	 11.793
            611	 11.793
            612	 11.793
            613	 11.793
            614	 11.793
            615	 11.793
            616	 11.793
            617	 11.793
            618	 11.793
            619	 11.793
            620	 11.793
            621	 11.788
            622	 11.788
            623	 11.788
            624	 11.788
            625	 11.788
            626	 11.788
            627	 11.788
            628	 11.788
            629	 11.788
            630	 11.788
            631	 11.788
            632	 11.788
            633	 11.783
            634	 11.783
            635	 11.783
            636	 11.783
            637	 11.783
            638	 11.783
            639	 11.783
            640	 11.783
            641	 11.783
            642	 11.783
            643	 11.783
            644	 11.778
            645	 11.778
            646	 11.778
            647	 11.778
            648	 11.778
            649	 11.778
            650	 11.778
            651	 11.778
            652	 11.778
            653	 11.778
            654	 11.778
            655	 11.778
            656	 11.773
            657	 11.773
            658	 11.773
            659	 11.773
            660	 11.773
            661	 11.773
            662	 11.773
            663	 11.773
            664	 11.773
            665	 11.773
            666	 11.773
            667	 11.771
            668	 11.771
            669	 11.771
            670	 11.771
            671	 11.771
            672	 11.771
            673	 11.771
            674	 11.771
            675	 11.771
            676	 11.771
            677	 11.771
            678	 11.771
            679	 11.766
            680	 11.766
            681	 11.766
            682	 11.766
            683	 11.766
            684	 11.766
            685	 11.766
            686	 11.766
            687	 11.766
            688	 11.766
            689	 11.766
            690	 11.761
            691	 11.761
            692	 11.761
            693	 11.761
            694	 11.761
            695	 11.761
            696	 11.761
            697	 11.761
            698	 11.761
            699	 11.761
            700	 11.761
            701	 11.761
            702	 11.756
            703	 11.756
            704	 11.756
            705	 11.756
            706	 11.756
            707	 11.756
            708	 11.756
            709	 11.756
            710	 11.756
            711	 11.756
            712	 11.756
            713	 11.753
            714	 11.753
            715	 11.753
            716	 11.753
            717	 11.753
            718	 11.753
            719	 11.753
            720	 11.753
            721	 11.753
            722	 11.753
            723	 11.753
            724	 11.753
            725	 11.748
            726	 11.748
            727	 11.748
            728	 11.748
            729	 11.748
            730	 11.748
            731	 11.748
            732	 11.748
            733	 11.748
            734	 11.748
            735	 11.748
            736	 11.744
            737	 11.744
            738	 11.744
            739	 11.744
            740	 11.744
            741	 11.744
            742	 11.744
            743	 11.744
            744	 11.744
            745	 11.744
            746	 11.744
            747	 11.744
            748	 11.741
            749	 11.741
            750	 11.741
            751	 11.741
            752	 11.741
            753	 11.741
            754	 11.741
            755	 11.741
            756	 11.741
            757	 11.741
            758	 11.741
            759	 11.736
            760	 11.736
            761	 11.736
            762	 11.736
            763	 11.736
            764	 11.736
            765	 11.736
            766	 11.736
            767	 11.736
            768	 11.736
            769	 11.736
            770	 11.736
            771	 11.734
            772	 11.734
            773	 11.734
            774	 11.734
            775	 11.734
            776	 11.734
            777	 11.734
            778	 11.734
            779	 11.734
            780	 11.734
            781	 11.734
            782	 11.729
            783	 11.729
            784	 11.729
            785	 11.729
            786	 11.729
            787	 11.729
            788	 11.729
            789	 11.729
            790	 11.729
            791	 11.729
            792	 11.729
            793	 11.729
            794	 11.724
            795	 11.724
            796	 11.724
            797	 11.724
            798	 11.724
            799	 11.724
            800	 11.724
            801	 11.724
            802	 11.724
            803	 11.724
            804	 11.724
            805	 11.721
            806	 11.721
            807	 11.721
            808	 11.721
            809	 11.721
            810	 11.721
            811	 11.721
            812	 11.721
            813	 11.721
            814	 11.721
            815	 11.721
            816	 11.721
            817	 11.716
            818	 11.716
            819	 11.716
            820	 11.716
            821	 11.716
            822	 11.716
            823	 11.716
            824	 11.716
            825	 11.716
            826	 11.716
            827	 11.716
            828	 11.714
            829	 11.714
            830	 11.714
            831	 11.714
            832	 11.714
            833	 11.714
            834	 11.714
            835	 11.714
            836	 11.714
            837	 11.714
            838	 11.714
            839	 11.714
            840	 11.709
            841	 11.709
            842	 11.709
            843	 11.709
            844	 11.709
            845	 11.709
            846	 11.709
            847	 11.709
            848	 11.709
            849	 11.709
            850	 11.709
            851	 11.706
            852	 11.706
            853	 11.706
            854	 11.706
            855	 11.706
            856	 11.706
            857	 11.706
            858	 11.706
            859	 11.706
            860	 11.706
            861	 11.706
            862	 11.706
            863	 11.701
            864	 11.701
            865	 11.701
            866	 11.701
            867	 11.701
            868	 11.701
            869	 11.701
            870	 11.701
            871	 11.701
            872	 11.701
            873	 11.701
            874	 11.699
            875	 11.699
            876	 11.699
            877	 11.699
            878	 11.699
            879	 11.699
            880	 11.699
            881	 11.699
            882	 11.699
            883	 11.699
            884	 11.699
            885	 11.699
            886	 11.694
            887	 11.694
            888	 11.694
            889	 11.694
            890	 11.694
            891	 11.694
            892	 11.694
            893	 11.694
            894	 11.694
            895	 11.694
            896	 11.694
            897	 11.691
            898	 11.691
            899	 11.691
            900	 11.691
            901	 11.691
            902	 11.691
            903	 11.691
            904	 11.691
            905	 11.691
            906	 11.691
            907	 11.691
            908	 11.691
            909	 11.686
            910	 11.686
            911	 11.686
            912	 11.686
            913	 11.686
            914	 11.686
            915	 11.686
            916	 11.686
            917	 11.686
            918	 11.686
            919	 11.686
            920	 11.684
            921	 11.684
            922	 11.684
            923	 11.684
            924	 11.684
            925	 11.684
            926	 11.684
            927	 11.684
            928	 11.684
            929	 11.684
            930	 11.684
            931	 11.684
            932	 11.681
            933	 11.681
            934	 11.681
            935	 11.681
            936	 11.681
            937	 11.681
            938	 11.681
            939	 11.681
            940	 11.681
            941	 11.681
            942	 11.681
            943	 11.676
            944	 11.676
            945	 11.676
            946	 11.676
            947	 11.676
            948	 11.676
            949	 11.676
            950	 11.676
            951	 11.676
            952	 11.676
            953	 11.676
            954	 11.676
            955	 11.674
            956	 11.674
            957	 11.674
            958	 11.674
            959	 11.674
            960	 11.674
            961	 11.674
            962	 11.674
            963	 11.674
            964	 11.674
            965	 11.674
            966	 11.671
            967	 11.671
            968	 11.671
            969	 11.671
            970	 11.671
            971	 11.671
            972	 11.671
            973	 11.671
            974	 11.671
            975	 11.671
            976	 11.671
            977	 11.671
            978	 11.666
            979	 11.666
            980	 11.666
            981	 11.666
            982	 11.666
            983	 11.666
            984	 11.666
            985	 11.666
            986	 11.666
            987	 11.666
            988	 11.666
            989	 11.664
            990	 11.664
            991	 11.664
            992	 11.664
            993	 11.664
            994	 11.664
            995	 11.664
            996	 11.664
            997	 11.664
            998	 11.664
            999	 11.664
           1000	 11.664
           1001	 11.661
           1002	 11.661
           1003	 11.661
           1004	 11.661
           1005	 11.661
           1006	 11.661
           1007	 11.661
           1008	 11.661
           1009	 11.661
           1010	 11.661
           1011	 11.661
           1012	 11.656
           1013	 11.656
           1014	 11.656
           1015	 11.656
           1016	 11.656
           1017	 11.656
           1018	 11.656
           1019	 11.656
           1020	 11.656
           1021	 11.656
           1022	 11.656
           1023	 11.656
           1024	 11.654
           1025	 11.654
           1026	 11.654
           1027	 11.654
           1028	 11.654
           1029	 11.654
           1030	 11.654
           1031	 11.654
           1032	 11.654
           1033	 11.654
           1034	 11.654
           1035	 11.649
           1036	 11.649
           1037	 11.649
           1038	 11.649
           1039	 11.649
           1040	 11.649
           1041	 11.649
           1042	 11.649
           1043	 11.649
           1044	 11.649
           1045	 11.649
           1046	 11.649
           1047	 11.647
           1048	 11.647
           1049	 11.647
           1050	 11.647
           1051	 11.647
           1052	 11.647
           1053	 11.647
           1054	 11.647
           1055	 11.647
           1056	 11.647
           1057	 11.647
           1058	 11.644
           1059	 11.644
           1060	 11.644
           1061	 11.644
           1062	 11.644
           1063	 11.644
           1064	 11.644
           1065	 11.644
           1066	 11.644
           1067	 11.644
           1068	 11.644
           1069	 11.644
           1070	 11.639
           1071	 11.639
           1072	 11.639
           1073	 11.639
           1074	 11.639
           1075	 11.639
           1076	 11.639
           1077	 11.639
           1078	 11.639
           1079	 11.639
           1080	 11.639
           1081	 11.637
           1082	 11.637
           1083	 11.637
           1084	 11.637
           1085	 11.637
           1086	 11.637
           1087	 11.637
           1088	 11.637
           1089	 11.637
           1090	 11.637
           1091	 11.637
           1092	 11.637
           1093	 11.634
           1094	 11.634
           1095	 11.634
           1096	 11.634
           1097	 11.634
           1098	 11.634
           1099	 11.634
           1100	 11.634
           1101	 11.634
           1102	 11.634
           1103	 11.634
           1104	 11.629
           1105	 11.629
           1106	 11.629
           1107	 11.629
           1108	 11.629
           1109	 11.629
           1110	 11.629
           1111	 11.629
           1112	 11.629
           1113	 11.629
           1114	 11.629
           1115	 11.629
           1116	 11.627
           1117	 11.627
           1118	 11.627
           1119	 11.627
           1120	 11.627
           1121	 11.627
           1122	 11.627
           1123	 11.627
           1124	 11.627
           1125	 11.627
           1126	 11.627
           1127	 11.624
           1128	 11.624
           1129	 11.624
           1130	 11.624
           1131	 11.624
           1132	 11.624
           1133	 11.624
           1134	 11.624
           1135	 11.624
           1136	 11.624
           1137	 11.624
           1138	 11.624
           1139	 11.622
           1140	 11.622
           1141	 11.622
           1142	 11.622
           1143	 11.622
           1144	 11.622
           1145	 11.622
           1146	 11.622
           1147	 11.622
           1148	 11.622
           1149	 11.622
           1150	 11.619
           1151	 11.619
           1152	 11.619
           1153	 11.619
           1154	 11.619
           1155	 11.619
           1156	 11.619
           1157	 11.619
           1158	 11.619
           1159	 11.619
           1160	 11.619
           1161	 11.619
           1162	 11.617
           1163	 11.617
           1164	 11.617
           1165	 11.617
           1166	 11.617
           1167	 11.617
           1168	 11.617
           1169	 11.617
           1170	 11.617
           1171	 11.617
           1172	 11.617
           1173	 11.617
           1174	 11.617
           1175	 11.617
           1176	 11.617
           1177	 11.617
           1178	 11.617
           1179	 11.617
           1180	 11.617
           1181	 11.617
           1182	 11.617
           1183	 11.617
           1184	 11.617
           1185	 11.614
           1186	 11.614
           1187	 11.614
           1188	 11.614
           1189	 11.614
           1190	 11.614
           1191	 11.614
           1192	 11.614
           1193	 11.614
           1194	 11.614
           1195	 11.614
           1196	 11.612
           1197	 11.612
           1198	 11.612
           1199	 11.612
           1200	 11.612
           1201	 11.612
           1202	 11.612
           1203	 11.612
           1204	 11.612
           1205	 11.612
           1206	 11.612
           1207	 11.612
           1208	 11.609
           1209	 11.609
           1210	 11.609
           1211	 11.609
           1212	 11.609
           1213	 11.609
           1214	 11.609
           1215	 11.609
           1216	 11.609
           1217	 11.609
           1218	 11.609
           1219	 11.609
           1220	 11.609
           1221	 11.609
           1222	 11.609
           1223	 11.609
           1224	 11.609
           1225	 11.609
           1226	 11.609
           1227	 11.609
           1228	 11.609
           1229	 11.609
           1230	 11.609
           1231	 11.607
           1232	 11.607
           1233	 11.607
           1234	 11.607
           1235	 11.607
           1236	 11.607
           1237	 11.607
           1238	 11.607
           1239	 11.607
           1240	 11.607
           1241	 11.607
           1242	 11.607
           1243	 11.607
           1244	 11.607
           1245	 11.607
           1246	 11.607
           1247	 11.607
           1248	 11.607
           1249	 11.607
           1250	 11.607
           1251	 11.607
           1252	 11.607
           1253	 11.607
           1254	 11.604
           1255	 11.604
           1256	 11.604
           1257	 11.604
           1258	 11.604
           1259	 11.604
           1260	 11.604
           1261	 11.604
           1262	 11.604
           1263	 11.604
           1264	 11.604
           1265	 11.604
           1266	 11.604
           1267	 11.604
           1268	 11.604
           1269	 11.604
           1270	 11.604
           1271	 11.604
           1272	 11.604
           1273	 11.604
           1274	 11.604
           1275	 11.604
           1276	 11.604
           1277	 11.602
           1278	 11.602
           1279	 11.602
           1280	 11.602
           1281	 11.602
           1282	 11.602
           1283	 11.602
           1284	 11.602
           1285	 11.602
           1286	 11.602
           1287	 11.602
           1288	 11.602
           1289	 11.602
           1290	 11.602
           1291	 11.602
           1292	 11.602
           1293	 11.602
           1294	 11.602
           1295	 11.602
           1296	 11.602
           1297	 11.602
           1298	 11.602
           1299	 11.602
           1300	 11.599
           1301	 11.599
           1302	 11.599
           1303	 11.599
           1304	 11.599
           1305	 11.599
           1306	 11.599
           1307	 11.599
           1308	 11.599
           1309	 11.599
           1310	 11.599
           1311	 11.599
           1312	 11.599
           1313	 11.599
           1314	 11.599
           1315	 11.599
           1316	 11.599
           1317	 11.599
           1318	 11.599
           1319	 11.599
           1320	 11.599
           1321	 11.599
           1322	 11.599
           1323	 11.597
           1324	 11.597
           1325	 11.597
           1326	 11.597
           1327	 11.597
           1328	 11.597
           1329	 11.597
           1330	 11.597
           1331	 11.597
           1332	 11.597
           1333	 11.597
           1334	 11.594
           1335	 11.594
           1336	 11.594
           1337	 11.594
           1338	 11.594
           1339	 11.594
           1340	 11.594
           1341	 11.594
           1342	 11.594
           1343	 11.594
           1344	 11.594
           1345	 11.594
           1346	 11.592
           1347	 11.592
           1348	 11.592
           1349	 11.592
           1350	 11.592
           1351	 11.592
           1352	 11.592
           1353	 11.592
           1354	 11.592
           1355	 11.592
           1356	 11.592
           1357	 11.589
           1358	 11.589
           1359	 11.589
           1360	 11.589
           1361	 11.589
           1362	 11.589
           1363	 11.589
           1364	 11.589
           1365	 11.589
           1366	 11.589
           1367	 11.589
           1368	 11.589
           1369	 11.589
           1370	 11.589
           1371	 11.589
           1372	 11.589
           1373	 11.589
           1374	 11.589
           1375	 11.589
           1376	 11.589
           1377	 11.589
           1378	 11.589
           1379	 11.589
           1380	 11.587
           1381	 11.587
           1382	 11.587
           1383	 11.587
           1384	 11.587
           1385	 11.587
           1386	 11.587
           1387	 11.587
           1388	 11.587
           1389	 11.587
           1390	 11.587
           1391	 11.587
           1392	 11.587
           1393	 11.587
           1394	 11.587
           1395	 11.587
           1396	 11.587
           1397	 11.587
           1398	 11.587
           1399	 11.587
           1400	 11.587
           1401	 11.587
           1402	 11.587
           1403	 11.587
           1404	 11.587
           1405	 11.587
           1406	 11.587
           1407	 11.587
           1408	 11.587
           1409	 11.587
           1410	 11.587
           1411	 11.587
           1412	 11.587
           1413	 11.587
           1414	 11.587
           1415	 11.587
           1416	 11.587
           1417	 11.587
           1418	 11.587
           1419	 11.587
           1420	 11.587
           1421	 11.587
           1422	 11.587
           1423	 11.587
           1424	 11.587
           1425	 11.587
           1426	 11.587
           1427	 11.587
           1428	 11.587
           1429	 11.587
           1430	 11.587
           1431	 11.587
           1432	 11.587
           1433	 11.587
           1434	 11.587
           1435	 11.587
           1436	 11.587
           1437	 11.587
           1438	 11.589
           1439	 11.589
           1440	 11.589
           1441	 11.589
           1442	 11.589
           1443	 11.589
           1444	 11.589
           1445	 11.589
           1446	 11.589
           1447	 11.589
           1448	 11.589
           1449	 11.592
           1450	 11.592
           1451	 11.592
           1452	 11.592
           1453	 11.592
           1454	 11.592
           1455	 11.592
           1456	 11.592
           1457	 11.592
           1458	 11.592
           1459	 11.592
           1460	 11.592
           1461	 11.594
           1462	 11.594
           1463	 11.594
           1464	 11.594
           1465	 11.594
           1466	 11.594
           1467	 11.594
           1468	 11.594
           1469	 11.594
           1470	 11.594
           1471	 11.594
           1472	 11.604
           1473	 11.604
           1474	 11.604
           1475	 11.604
           1476	 11.604
           1477	 11.604
           1478	 11.604
           1479	 11.604
           1480	 11.604
           1481	 11.604
           1482	 11.604
           1483	 11.604
           1484	 11.607
           1485	 11.607
           1486	 11.607
           1487	 11.607
           1488	 11.607
           1489	 11.607
           1490	 11.607
           1491	 11.607
           1492	 11.607
           1493	 11.607
           1494	 11.607
           1495	 11.607
           1496	 11.607
           1497	 11.607
           1498	 11.607
           1499	 11.607
           1500	 11.607
           1501	 11.607
           1502	 11.607
           1503	 11.607
           1504	 11.607
           1505	 11.607
           1506	 11.607
           1507	 11.617
           1508	 11.617
           1509	 11.617
           1510	 11.617
           1511	 11.617
           1512	 11.617
           1513	 11.617
           1514	 11.617
           1515	 11.617
           1516	 11.617
           1517	 11.617
           1518	 11.629
           1519	 11.629
           1520	 11.629
           1521	 11.629
           1522	 11.629
           1523	 11.629
           1524	 11.629
           1525	 11.629
           1526	 11.629
           1527	 11.629
           1528	 11.629
           1529	 11.629
           1530	 11.644
           1531	 11.644
           1532	 11.644
           1533	 11.644
           1534	 11.644
           1535	 11.644
           1536	 11.644
           1537	 11.644
           1538	 11.644
           1539	 11.644
           1540	 11.644
           1541	 11.659
           1542	 11.659
           1543	 11.659
           1544	 11.659
           1545	 11.659
           1546	 11.659
           1547	 11.659
           1548	 11.659
           1549	 11.659
           1550	 11.659
           1551	 11.659
           1552	 11.659
           1553	 11.674
           1554	 11.674
           1555	 11.674
           1556	 11.674
           1557	 11.674
           1558	 11.674
           1559	 11.674
           1560	 11.674
           1561	 11.674
           1562	 11.674
           1563	 11.674
           1564	 11.691
           1565	 11.691
           1566	 11.691
           1567	 11.691
           1568	 11.691
           1569	 11.691
           1570	 11.691
           1571	 11.691
           1572	 11.691
           1573	 11.691
           1574	 11.691
           1575	 11.691
           1576	 11.709
           1577	 11.709
           1578	 11.709
           1579	 11.709
           1580	 11.709
           1581	 11.709
           1582	 11.709
           1583	 11.709
           1584	 11.709
           1585	 11.709
           1586	 11.709
           1587	 11.729
           1588	 11.729
           1589	 11.729
           1590	 11.729
           1591	 11.729
           1592	 11.729
           1593	 11.729
           1594	 11.729
           1595	 11.729
           1596	 11.729
           1597	 11.729
           1598	 11.729
           1599	 11.748
           1600	 11.748
           1601	 11.748
           1602	 11.748
           1603	 11.748
           1604	 11.748
           1605	 11.748
           1606	 11.748
           1607	 11.748
           1608	 11.748
           1609	 11.748
           1610	 11.768
           1611	 11.768
           1612	 11.768
           1613	 11.768
           1614	 11.768
           1615	 11.768
           1616	 11.768
           1617	 11.768
           1618	 11.768
           1619	 11.768
           1620	 11.768
           1621	 11.768
           1622	 11.788
           1623	 11.788
           1624	 11.788
           1625	 11.788
           1626	 11.788
           1627	 11.788
           1628	 11.788
           1629	 11.788
           1630	 11.788
           1631	 11.788
           1632	 11.788
           1633	 11.808
           1634	 11.808
           1635	 11.808
           1636	 11.808
           1637	 11.808
           1638	 11.808
           1639	 11.808
           1640	 11.808
           1641	 11.808
           1642	 11.808
           1643	 11.808
           1644	 11.808
           1645	 11.828
           1646	 11.828
           1647	 11.828
           1648	 11.828
           1649	 11.828
           1650	 11.828
           1651	 11.828
           1652	 11.828
           1653	 11.828
           1654	 11.828
           1655	 11.828
           1656	 11.848
           1657	 11.848
           1658	 11.848
           1659	 11.848
           1660	 11.848
           1661	 11.848
