sample interval	G1-EMG2
            478	  0.000
            479	  0.000
            480	  0.000
            481	  0.000
            482	  0.000
            483	  0.000
            484	  0.000
            485	  0.000
            486	  0.000
            487	  0.000
            488	  0.000
            489	  0.000
            490	  0.000
            491	  0.000
            492	  0.000
            493	  0.000
            494	  0.000
            495	  0.000
            496	  0.000
            497	  0.000
            498	  0.000
            499	  0.000
            500	  0.000
            501	  0.000
            502	  0.000
            503	  0.000
            504	  0.000
            505	  0.000
            506	  0.000
            507	  0.000
            508	  0.000
            509	  0.000
            510	  0.000
            511	  0.000
            512	-12.607
            513	-11.813
            514	 -9.188
            515	 -6.838
            516	 -3.632
            517	  0.458
            518	  4.335
            519	  6.593
            520	  6.654
            521	  4.731
            522	 23.932
            523	 44.536
            524	 -8.883
            525	-90.598
            526	-89.957
            527	-21.459
            528	 29.792
            529	 36.844
            530	 35.470
            531	 34.310
            532	 10.623
            533	-14.835
            534	-17.705
            535	-14.591
            536	 -3.602
            537	 33.791
            538	 74.695
            539	 71.184
            540	 19.017
            541	-33.272
            542	-54.945
            543	-52.900
            544	-28.388
            545	  9.432
            546	 23.962
            547	 10.501
            548	 12.821
            549	 36.172
            550	 43.223
            551	 28.724
            552	 -6.288
            553	-62.332
            554	-101.770
            555	-86.661
            556	-23.291
            557	 37.179
            558	 48.901
            559	 16.239
            560	-22.741
            561	-20.147
            562	 29.548
            563	 65.598
            564	 54.457
            565	 27.778
            566	 11.233
            567	  0.611
            568	 -8.455
            569	-12.576
            570	-14.683
            571	-19.078
            572	-14.866
            573	  7.234
            574	 27.473
            575	 28.510
            576	 11.844
            577	-17.674
            578	-40.171
            579	-41.056
            580	-26.526
            581	-13.065
            582	-10.043
            583	 -2.503
            584	 17.277
            585	 32.540
            586	 37.912
            587	 40.201
            588	 24.298
            589	-16.758
            590	-59.158
            591	-76.801
            592	-43.010
            593	 29.212
            594	 63.065
            595	 29.335
            596	-10.928
            597	-14.744
            598	  6.074
            599	 23.474
            600	 16.300
            601	 -6.013
            602	-14.896
            603	  2.534
            604	 22.100
            605	  8.944
            606	-22.161
            607	-30.556
            608	-23.871
            609	-26.343
            610	-20.879
            611	  4.365
            612	 32.295
            613	 41.789
            614	 19.017
            615	-22.100
            616	-45.269
            617	-30.250
            618	  6.807
            619	 43.712
            620	 62.637
            621	 44.841
            622	 -1.496
            623	-44.048
            624	-55.037
            625	-32.326
            626	 -2.381
            627	 13.492
            628	 15.720
            629	 12.027
            630	 10.256
            631	 11.111
            632	 10.775
            633	  7.387
            634	  0.000
            635	 -2.900
            636	  8.181
            637	  9.799
            638	-13.614
            639	-32.692
            640	-30.769
            641	-10.348
            642	 20.208
            643	 40.140
            644	 30.861
            645	-15.446
            646	-63.919
            647	-57.967
            648	 -7.723
            649	 27.869
            650	 31.593
            651	 20.940
            652	  5.983
            653	  3.022
            654	 16.697
            655	 22.772
            656	 12.943
            657	  6.227
            658	 10.989
            659	 13.767
            660	 -1.862
            661	-35.470
            662	-54.518
            663	-34.188
            664	 -2.900
            665	  7.357
            666	  4.548
            667	  3.816
            668	  6.593
            669	 15.629
            670	 29.304
            671	 22.711
            672	-11.172
            673	-30.617
            674	-10.989
            675	 12.485
            676	  6.532
            677	-20.757
            678	-38.706
            679	-19.078
            680	 18.651
            681	 31.319
            682	 16.880
            683	  0.366
            684	  5.403
            685	 26.862
            686	 24.878
            687	 -8.822
            688	-29.457
            689	-16.270
            690	 -3.632
            691	-19.872
            692	-42.766
            693	-32.051
            694	  7.295
            695	 32.814
            696	 32.814
            697	 40.629
            698	 63.156
            699	 56.166
            700	 -2.534
            701	-73.565
            702	-94.841
            703	-53.510
            704	  0.946
            705	 29.579
            706	 37.759
            707	 39.927
            708	 26.832
            709	 -4.731
            710	-23.107
            711	-11.874
            712	  5.830
            713	  8.059
            714	 -2.503
            715	-14.438
            716	-19.628
            717	-12.729
            718	  0.244
            719	 19.444
            720	 46.429
            721	 34.860
            722	-32.051
            723	-60.836
            724	-13.492
            725	 22.955
            726	 13.828
            727	 -2.259
            728	-13.584
            729	-17.979
            730	  2.686
            731	 38.492
            732	 46.429
            733	 16.728
            734	-16.758
            735	-29.792
            736	-27.045
            737	-23.565
            738	-19.536
            739	 -8.730
            740	  4.182
            741	 14.072
            742	 15.446
            743	  5.311
            744	 -2.289
            745	  5.800
            746	 18.101
            747	 17.705
            748	  8.211
            749	  4.853
            750	 12.027
            751	 15.232
            752	  5.372
            753	-13.065
            754	-33.974
            755	-42.857
            756	-32.692
            757	-14.316
            758	  4.212
            759	 15.751
            760	 13.645
            761	  7.357
            762	  5.311
            763	  3.327
            764	  2.473
            765	  2.015
            766	 -2.930
            767	-10.379
            768	-17.735
            769	-17.186
            770	 -3.022
            771	  6.013
            772	 -3.083
            773	  0.458
            774	 35.806
            775	 60.623
            776	 43.559
            777	  9.066
            778	-18.559
            779	-32.662
            780	-28.083
            781	-10.501
            782	  9.066
            783	 17.674
            784	  8.852
            785	 -3.480
            786	 -6.319
            787	 -1.313
            788	  1.801
            789	 -1.618
            790	 -1.984
            791	  4.579
            792	  6.471
            793	 -3.724
            794	-13.156
            795	 -9.158
            796	 -6.197
            797	-14.530
            798	-16.758
            799	 -9.737
            800	-13.278
            801	-21.093
            802	 -0.946
            803	 45.330
            804	 65.232
            805	 34.493
            806	 -8.516
            807	-28.297
            808	-21.429
            809	 -7.631
            810	 -2.595
            811	  5.525
            812	 13.339
            813	 -0.397
            814	-18.407
            815	-10.409
            816	 19.017
            817	 40.293
            818	 25.916
            819	-13.217
            820	-37.057
            821	-25.641
            822	  3.755
            823	 10.104
            824	-15.995
            825	-30.495
            826	-15.232
            827	 -2.564
            828	 -3.510
            829	 13.645
            830	 51.160
            831	 57.204
            832	 15.812
            833	-23.779
            834	-24.969
            835	 -4.029
            836	  4.915
            837	 -9.921
            838	-32.479
            839	-41.819
            840	-21.734
            841	 26.099
            842	 62.179
            843	 54.701
            844	 19.170
            845	 -3.785
            846	 -2.900
            847	 -5.281
            848	-13.858
            849	-11.722
            850	 -7.021
            851	-10.958
            852	-21.215
            853	-30.617
            854	-28.449
            855	-19.200
            856	-22.802
            857	-31.166
            858	-11.905
            859	 28.663
            860	 47.955
            861	 47.009
            862	 58.059
            863	 51.099
            864	 -1.679
            865	-41.789
            866	-31.227
            867	 -4.396
            868	  2.930
            869	-11.996
            870	-25.244
            871	-19.353
            872	 -4.182
            873	  5.983
            874	  9.341
            875	  9.982
            876	  8.028
            877	  6.838
            878	 17.369
            879	 34.035
            880	 33.272
            881	  7.784
            882	-20.391
            883	-31.074
            884	-30.952
            885	-30.617
            886	-18.162
            887	 15.995
            888	 45.757
            889	 38.858
            890	  9.829
            891	 -3.907
            892	 -9.005
            893	-37.057
            894	-55.525
            895	-15.812
            896	 33.425
            897	 37.179
            898	 18.620
            899	  2.839
            900	 -9.371
            901	-22.711
            902	-36.203
            903	-30.830
            904	 -0.794
            905	 36.294
            906	 66.178
            907	 68.681
            908	 31.074
            909	-31.013
            910	-91.789
            911	-105.495
            912	-35.317
            913	 54.304
            914	 66.026
            915	 18.101
            916	-20.421
            917	-27.778
            918	 -9.860
            919	 10.684
            920	 17.460
            921	 11.630
            922	 -4.792
            923	-21.703
            924	-18.681
            925	  6.838
            926	 30.769
            927	 42.308
            928	 42.430
            929	 20.330
            930	-21.337
            931	-60.287
            932	-64.042
            933	-19.292
            934	 31.197
            935	 43.346
            936	 23.748
            937	  1.740
            938	 -7.112
            939	 -7.357
            940	 -1.557
            941	  7.631
            942	 14.805
            943	 12.729
            944	 -8.089
            945	-48.260
            946	-75.824
            947	-38.217
            948	 44.170
            949	 88.919
            950	 70.543
            951	 27.808
            952	 -8.639
            953	-29.304
            954	-31.319
            955	-21.398
            956	-13.889
            957	-19.444
            958	-30.281
            959	-27.350
            960	 -3.694
            961	 24.359
            962	 37.576
            963	 32.082
            964	 21.215
            965	 18.529
            966	 10.501
            967	 -9.005
            968	-23.626
            969	-31.624
            970	-32.326
            971	-12.363
            972	 21.245
            973	 41.880
            974	 42.613
            975	 30.250
            976	  0.000
            977	-42.674
            978	-68.223
            979	-47.527
            980	  9.096
            981	 49.817
            982	 43.864
            983	  7.509
            984	-30.647
            985	-49.817
            986	-32.357
            987	 10.562
            988	 27.289
            989	  8.608
            990	  0.031
            991	  8.852
            992	 11.386
            993	  6.929
            994	  8.944
            995	 20.299
            996	 26.160
            997	 14.591
            998	-13.400
            999	-42.186
           1000	-46.429
           1001	-25.244
           1002	  0.305
           1003	 15.629
           1004	 21.368
           1005	 18.407
           1006	 -0.641
           1007	-17.766
           1008	-10.684
           1009	  4.396
           1010	 12.546
           1011	 13.309
           1012	 -2.839
           1013	-23.932
           1014	-15.781
           1015	 16.056
           1016	 33.883
           1017	 22.833
           1018	 -2.015
           1019	-24.481
           1020	-31.746
           1021	-18.101
           1022	 -0.824
           1023	 10.592
           1024	 -8.242
           1025	 -0.244
           1026	 -0.519
           1027	 -3.968
           1028	 10.684
           1029	 35.379
           1030	 49.786
           1031	 48.382
           1032	 33.333
           1033	 12.057
           1034	 -6.777
           1035	-16.117
           1036	-16.819
           1037	-17.796
           1038	-16.270
           1039	 -7.875
           1040	 -9.463
           1041	-23.840
           1042	-29.457
           1043	-19.109
           1044	 10.623
           1045	 41.972
           1046	 36.081
           1047	  2.747
           1048	-22.650
           1049	-31.532
           1050	-25.885
           1051	 -5.220
           1052	 21.917
           1053	 24.054
           1054	-19.719
           1055	-66.850
           1056	-56.319
           1057	  0.824
           1058	 38.217
           1059	 24.969
           1060	 -6.502
           1061	 -9.982
           1062	 15.476
           1063	 30.891
           1064	 21.520
           1065	  1.954
           1066	-14.835
           1067	-17.582
           1068	 -8.059
           1069	  0.183
           1070	  2.564
           1071	  1.801
           1072	  1.679
           1073	 -2.259
           1074	-21.398
           1075	-39.927
           1076	-22.344
           1077	 20.360
           1078	 42.705
           1079	 35.043
           1080	 18.987
           1081	  6.532
           1082	 -3.632
           1083	-11.538
           1084	-15.385
           1085	-18.956
           1086	-20.971
           1087	-12.057
           1088	  0.183
           1089	 11.508
           1090	 34.554
           1091	 49.451
           1092	 28.053
           1093	 -9.554
           1094	-34.249
           1095	-39.377
           1096	-21.520
           1097	  5.800
           1098	 20.726
           1099	 18.834
           1100	  0.183
           1101	-21.581
           1102	-22.375
           1103	 -9.188
           1104	  1.221
           1105	 17.460
           1106	 29.121
           1107	 16.056
           1108	 -2.869
           1109	-12.607
           1110	-14.438
           1111	 -3.358
           1112	  6.013
           1113	 -7.662
           1114	-27.869
           1115	-26.374
           1116	-10.379
           1117	  8.150
           1118	 25.366
           1119	 20.452
           1120	-10.531
           1121	-35.409
           1122	-24.512
           1123	 16.941
           1124	 61.294
           1125	 83.578
           1126	 58.089
           1127	  3.144
           1128	-22.711
           1129	-25.183
           1130	-36.752
           1131	-35.928
           1132	 -9.524
           1133	  5.525
           1134	-14.164
           1135	-35.409
           1136	-35.623
           1137	-32.479
           1138	-16.697
           1139	 17.796
           1140	 34.951
           1141	 27.045
           1142	 19.628
           1143	 12.057
           1144	 -5.067
           1145	-13.980
           1146	 -3.236
           1147	 10.928
           1148	 19.261
           1149	 20.391
           1150	 -0.061
           1151	-36.142
           1152	-44.658
           1153	-11.020
           1154	 27.381
           1155	 39.377
           1156	 26.648
           1157	 11.447
           1158	  2.595
           1159	-10.317
           1160	-17.613
           1161	 -7.845
           1162	  5.433
           1163	 10.684
           1164	  7.998
           1165	 -1.862
           1166	-16.087
           1167	-20.635
           1168	 -6.258
           1169	  9.707
           1170	  8.211
           1171	 -4.396
           1172	-12.088
           1173	 -9.493
           1174	 -1.068
           1175	  5.220
           1176	  0.977
           1177	 -5.403
           1178	 -0.946
           1179	  1.099
           1180	 -8.028
           1181	-13.339
           1182	 -7.143
           1183	  1.374
           1184	  1.832
           1185	 -3.449
           1186	 -1.648
           1187	 13.858
           1188	 30.922
           1189	 28.175
           1190	  7.021
           1191	  5.311
           1192	 26.313
           1193	 14.713
           1194	-24.786
           1195	-36.203
           1196	-20.726
           1197	 -9.341
           1198	-11.325
           1199	-20.421
           1200	-22.253
           1201	 -7.082
           1202	 15.751
           1203	 29.243
           1204	 20.879
           1205	  2.473
           1206	  2.595
           1207	 13.858
           1208	  9.951
           1209	 -4.243
           1210	-12.302
           1211	-16.392
           1212	-27.717
           1213	-35.256
           1214	-10.867
           1215	 31.380
           1216	 41.850
           1217	 21.337
           1218	  5.800
           1219	  2.961
           1220	  8.303
           1221	  8.455
           1222	 -5.159
           1223	-14.621
           1224	 -8.700
           1225	  6.777
           1226	 15.720
           1227	 -1.099
           1228	-22.802
           1229	-17.674
           1230	 -4.792
           1231	 -1.252
           1232	  4.060
           1233	 11.783
           1234	 13.614
           1235	  0.702
           1236	-17.094
           1237	-17.216
           1238	 -3.205
           1239	  7.937
           1240	  5.159
           1241	 -6.899
           1242	  0.885
           1243	 22.314
           1244	  7.845
           1245	-32.479
           1246	-30.922
           1247	 18.376
           1248	 51.862
           1249	 39.530
           1250	  9.158
           1251	-12.698
           1252	-27.411
           1253	-19.963
           1254	 15.293
           1255	 21.459
           1256	-11.630
           1257	-32.051
           1258	-30.159
           1259	-21.917
           1260	 -5.800
           1261	 14.866
           1262	 18.773
           1263	  7.662
           1264	 -1.465
           1265	 -4.487
           1266	 -3.358
           1267	 -0.946
           1268	  8.303
           1269	 22.039
           1270	 24.115
           1271	 13.553
           1272	  5.342
           1273	  2.198
           1274	 -7.601
           1275	-19.567
           1276	-12.210
           1277	  5.403
           1278	  2.686
           1279	 -8.059
           1280	 14.194
           1281	 40.232
           1282	 10.836
           1283	-36.203
           1284	-43.407
           1285	-21.337
           1286	 -3.053
           1287	  0.611
           1288	 14.805
           1289	 36.020
           1290	 21.184
           1291	-13.858
           1292	-21.581
           1293	 -9.829
           1294	 -1.770
           1295	  1.282
           1296	 -0.794
           1297	 -5.556
           1298	 -7.418
           1299	 -7.448
           1300	 -6.624
           1301	 -4.060
           1302	 -4.609
           1303	 -6.013
           1304	  5.098
           1305	 25.153
           1306	 31.868
           1307	 17.216
           1308	 -1.190
           1309	 -7.906
           1310	 -6.502
           1311	 -5.556
           1312	 -7.784
           1313	 -8.394
           1314	 -2.778
           1315	  5.464
           1316	  6.654
           1317	 -3.785
           1318	-11.935
           1319	 -3.205
           1320	  9.707
           1321	  9.951
           1322	 -0.275
           1323	 -9.463
           1324	 -4.792
           1325	  9.463
           1326	 16.575
           1327	 14.835
           1328	  7.967
           1329	 -4.029
           1330	-10.531
           1331	 -4.823
           1332	  2.015
           1333	  0.641
           1334	 -5.433
           1335	 -6.471
           1336	  1.252
           1337	  7.875
           1338	  1.526
           1339	-10.195
           1340	 -9.402
           1341	  5.342
           1342	 16.758
           1343	 13.339
           1344	  2.930
           1345	 -3.938
           1346	 -6.197
           1347	 -8.883
           1348	-13.706
           1349	-12.882
           1350	 -4.335
           1351	  1.526
           1352	  2.991
           1353	  5.495
           1354	  6.929
           1355	 10.134
           1356	 16.484
           1357	 11.935
           1358	 -1.435
           1359	 -4.396
           1360	  2.045
           1361	  6.166
           1362	  5.617
           1363	 -3.297
           1364	-16.880
           1365	-16.606
           1366	  0.672
           1367	 15.232
           1368	  9.615
           1369	-11.905
           1370	-27.564
           1371	-17.277
           1372	 11.996
           1373	 27.015
           1374	 15.995
           1375	  0.092
           1376	 -5.250
           1377	 -3.510
           1378	 -4.335
           1379	 -8.791
           1380	 -7.601
           1381	 -1.007
           1382	  3.663
           1383	  3.663
           1384	 -2.930
           1385	 -7.570
           1386	 -0.458
           1387	  7.509
           1388	  3.846
           1389	 -5.556
           1390	-10.470
           1391	-10.592
           1392	 -6.716
           1393	  1.038
           1394	  5.861
           1395	  4.304
           1396	  1.618
           1397	  3.205
           1398	  7.906
           1399	 10.501
           1400	 10.623
           1401	  6.990
           1402	 -3.480
           1403	-13.248
           1404	-11.691
           1405	 -4.548
           1406	 -2.534
           1407	  2.778
           1408	  8.913
           1409	 -0.580
           1410	 -8.547
           1411	  1.496
           1412	  8.822
           1413	  2.595
           1414	  0.000
           1415	  5.952
           1416	  5.678
           1417	 -0.916
           1418	 -1.160
           1419	  2.228
           1420	  0.611
           1421	 -3.785
           1422	 -3.571
           1423	 -1.893
           1424	 -4.457
           1425	 -6.502
           1426	 -8.852
           1427	 -8.425
           1428	  1.587
           1429	  9.463
           1430	  5.220
           1431	  1.007
           1432	  5.098
           1433	  8.791
           1434	  6.136
           1435	  0.733
           1436	 -1.099
           1437	 -0.763
           1438	 -0.946
           1439	  0.794
           1440	  1.007
           1441	 -3.510
           1442	 -5.922
           1443	 -1.068
           1444	  2.137
           1445	 -4.212
           1446	-14.774
           1447	-16.819
           1448	 -2.198
           1449	 16.361
           1450	 20.879
           1451	 11.966
           1452	  0.580
           1453	 -5.861
           1454	 -7.601
           1455	 -6.288
           1456	  0.092
           1457	  8.333
           1458	  9.371
           1459	  1.160
           1460	 -6.716
           1461	 -6.654
           1462	 -3.419
           1463	 -3.175
           1464	-10.104
           1465	-17.705
           1466	 -9.035
           1467	  7.875
           1468	 13.858
           1469	 11.874
           1470	  6.410
           1471	 -0.122
           1472	  0.305
           1473	  8.791
           1474	 19.811
           1475	 21.551
           1476	  7.112
           1477	 -8.364
           1478	-11.355
           1479	-10.195
           1480	-14.896
           1481	-18.101
           1482	-11.905
           1483	 -3.358
           1484	  2.350
           1485	  4.762
           1486	 -2.289
           1487	-13.858
           1488	 -9.799
           1489	  8.272
           1490	 16.972
           1491	 10.379
           1492	  1.252
           1493	 -1.465
           1494	 -2.289
           1495	 -7.021
           1496	 -9.524
           1497	 -5.006
           1498	  2.778
           1499	  9.402
           1500	 10.714
           1501	  5.891
           1502	  0.519
           1503	  0.458
           1504	  4.121
           1505	  5.281
           1506	 -2.503
           1507	-13.278
           1508	-12.424
           1509	 -6.197
           1510	 -4.182
           1511	 -3.480
           1512	 -6.319
           1513	 -3.358
           1514	 12.210
           1515	 24.359
           1516	 24.603
           1517	 18.712
           1518	 12.210
           1519	  4.274
           1520	 -7.448
           1521	-17.369
           1522	-17.949
           1523	 -9.737
           1524	 -2.198
           1525	 -0.580
           1526	 -3.053
           1527	 -9.341
           1528	-11.386
           1529	 -1.190
           1530	 10.989
           1531	 11.966
           1532	  5.617
           1533	  1.679
           1534	  0.366
           1535	  2.045
           1536	-14.896
           1537	-20.177
           1538	-21.123
           1539	-15.537
           1540	 -7.540
           1541	 -2.045
           1542	  1.068
           1543	  4.151
           1544	  5.464
           1545	  2.503
           1546	 -2.656
           1547	 -4.579
           1548	 -0.580
           1549	  3.053
           1550	  1.404
           1551	  0.366
           1552	  5.708
           1553	 11.966
           1554	 12.179
           1555	  9.493
           1556	  9.707
           1557	  7.357
           1558	 -2.442
           1559	 -9.188
           1560	 -4.518
           1561	  3.968
           1562	  9.371
           1563	 13.370
           1564	 14.225
           1565	  8.974
           1566	  1.587
           1567	 -2.320
           1568	 -2.900
           1569	 -2.991
           1570	  0.153
           1571	  7.173
           1572	 10.012
           1573	  4.365
           1574	 -4.457
           1575	 -7.357
           1576	 -2.473
           1577	 -0.672
           1578	 -7.509
           1579	-10.653
           1580	 -2.778
           1581	  7.387
           1582	 10.470
           1583	  4.640
           1584	 -2.808
           1585	 -4.609
           1586	 -5.281
           1587	 -7.418
           1588	 -4.212
           1589	  3.755
           1590	  9.799
           1591	  9.554
           1592	  2.625
           1593	 -4.701
           1594	 -6.593
           1595	 -4.579
           1596	 -4.640
           1597	 -7.662
           1598	 -6.258
           1599	 -0.916
           1600	  1.526
           1601	  2.991
           1602	  4.701
           1603	  5.098
           1604	  4.731
           1605	  3.449
           1606	  0.549
           1607	 -1.984
           1608	 -0.549
           1609	  4.792
           1610	  9.676
           1611	  6.746
           1612	 -4.335
           1613	-10.836
           1614	 -8.822
           1615	 -7.418
           1616	 -8.700
           1617	 -5.922
           1618	  5.464
           1619	 14.408
           1620	  7.937
           1621	 -4.212
           1622	-11.966
