sample interval	PLETH, 
            942	  0.443
            943	  0.440
            944	  0.438
            945	  0.435
            946	  0.433
            947	  0.431
            948	  0.429
            949	  0.427
            950	  0.424
            951	  0.422
            952	  0.420
            953	  0.416
            954	  0.413
            955	  0.411
            956	  0.407
            957	  0.402
            958	  0.398
            959	  0.394
            960	  0.392
            961	  0.391
            962	  0.393
            963	  0.397
            964	  0.406
            965	  0.419
            966	  0.438
            967	  0.461
            968	  0.488
            969	  0.517
            970	  0.542
            971	  0.562
            972	  0.583
            973	  0.601
            974	  0.617
            975	  0.628
            976	  0.634
            977	  0.640
            978	  0.644
            979	  0.646
            980	  0.647
            981	  0.648
            982	  0.648
            983	  0.647
            984	  0.644
            985	  0.641
            986	  0.636
            987	  0.631
            988	  0.627
            989	  0.621
            990	  0.613
            991	  0.605
            992	  0.595
            993	  0.586
            994	  0.573
            995	  0.557
            996	  0.539
            997	  0.520
            998	  0.502
            999	  0.487
           1000	  0.473
           1001	  0.462
           1002	  0.454
           1003	  0.446
           1004	  0.441
           1005	  0.437
           1006	  0.434
           1007	  0.431
           1008	  0.429
           1009	  0.426
           1010	  0.424
           1011	  0.422
           1012	  0.419
           1013	  0.417
           1014	  0.415
           1015	  0.413
           1016	  0.410
           1017	  0.407
           1018	  0.404
           1019	  0.402
           1020	  0.400
           1021	  0.397
           1022	  0.395
           1023	  0.393
           1024	  0.390
           1025	  0.389
           1026	  0.387
           1027	  0.385
           1028	  0.383
           1029	  0.379
           1030	  0.375
           1031	  0.373
           1032	  0.371
           1033	  0.370
           1034	  0.369
           1035	  0.367
           1036	  0.365
           1037	  0.364
           1038	  0.363
           1039	  0.362
           1040	  0.361
           1041	  0.359
           1042	  0.357
           1043	  0.357
           1044	  0.359
           1045	  0.363
           1046	  0.370
           1047	  0.384
           1048	  0.405
           1049	  0.431
           1050	  0.456
           1051	  0.480
           1052	  0.507
           1053	  0.535
           1054	  0.561
           1055	  0.586
           1056	  0.606
           1057	  0.624
           1058	  0.638
           1059	  0.650
           1060	  0.659
           1061	  0.666
           1062	  0.672
           1063	  0.674
           1064	  0.675
           1065	  0.677
           1066	  0.678
           1067	  0.679
           1068	  0.677
           1069	  0.676
           1070	  0.674
           1071	  0.671
           1072	  0.666
           1073	  0.658
           1074	  0.650
           1075	  0.644
           1076	  0.637
           1077	  0.629
           1078	  0.617
           1079	  0.603
           1080	  0.588
           1081	  0.573
           1082	  0.557
           1083	  0.542
           1084	  0.526
           1085	  0.512
           1086	  0.500
           1087	  0.490
           1088	  0.481
           1089	  0.474
           1090	  0.467
           1091	  0.462
           1092	  0.457
           1093	  0.455
           1094	  0.452
           1095	  0.449
           1096	  0.446
           1097	  0.443
           1098	  0.440
           1099	  0.438
           1100	  0.436
           1101	  0.434
           1102	  0.430
           1103	  0.425
           1104	  0.420
           1105	  0.416
           1106	  0.413
           1107	  0.410
           1108	  0.407
           1109	  0.404
           1110	  0.402
           1111	  0.400
           1112	  0.397
           1113	  0.396
           1114	  0.393
           1115	  0.389
           1116	  0.384
           1117	  0.380
           1118	  0.376
           1119	  0.372
           1120	  0.370
           1121	  0.367
           1122	  0.363
           1123	  0.359
           1124	  0.356
           1125	  0.354
           1126	  0.354
           1127	  0.354
           1128	  0.357
           1129	  0.364
           1130	  0.376
           1131	  0.394
           1132	  0.417
           1133	  0.461
           1134	  0.493
           1135	  0.523
           1136	  0.565
           1137	  0.586
           1138	  0.602
           1139	  0.619
           1140	  0.632
           1141	  0.643
           1142	  0.652
           1143	  0.660
           1144	  0.668
           1145	  0.674
           1146	  0.677
           1147	  0.680
           1148	  0.680
           1149	  0.679
           1150	  0.676
           1151	  0.674
           1152	  0.673
           1153	  0.670
           1154	  0.666
           1155	  0.660
           1156	  0.653
           1157	  0.645
           1158	  0.636
           1159	  0.627
           1160	  0.615
           1161	  0.600
           1162	  0.587
           1163	  0.574
           1164	  0.556
           1165	  0.539
           1166	  0.523
           1167	  0.507
           1168	  0.495
           1169	  0.484
           1170	  0.475
           1171	  0.468
           1172	  0.462
           1173	  0.457
           1174	  0.453
           1175	  0.450
           1176	  0.446
           1177	  0.442
           1178	  0.438
           1179	  0.435
           1180	  0.431
           1181	  0.427
           1182	  0.423
           1183	  0.419
           1184	  0.414
           1185	  0.411
           1186	  0.407
           1187	  0.404
           1188	  0.400
           1189	  0.396
           1190	  0.393
           1191	  0.389
           1192	  0.386
           1193	  0.382
           1194	  0.377
           1195	  0.373
           1196	  0.369
           1197	  0.365
           1198	  0.361
           1199	  0.360
           1200	  0.360
           1201	  0.360
           1202	  0.360
           1203	  0.358
           1204	  0.356
           1205	  0.354
           1206	  0.350
           1207	  0.346
           1208	  0.344
           1209	  0.343
           1210	  0.345
           1211	  0.348
           1212	  0.356
           1213	  0.368
           1214	  0.385
           1215	  0.408
           1216	  0.435
           1217	  0.463
           1218	  0.494
           1219	  0.522
           1220	  0.547
           1221	  0.570
           1222	  0.589
           1223	  0.606
           1224	  0.620
           1225	  0.639
           1226	  0.665
           1227	  0.680
           1228	  0.690
           1229	  0.692
           1230	  0.692
           1231	  0.691
           1232	  0.691
           1233	  0.689
           1234	  0.687
           1235	  0.684
           1236	  0.679
           1237	  0.674
           1238	  0.668
           1239	  0.659
           1240	  0.648
           1241	  0.635
           1242	  0.620
           1243	  0.601
           1244	  0.582
           1245	  0.561
           1246	  0.540
           1247	  0.519
           1248	  0.501
           1249	  0.486
