   Elapsed time	 RESP, 
       0:01.472	  1.000
       0:01.480	  1.000
       0:01.488	  1.000
       0:01.496	  1.000
       0:01.504	  1.000
       0:01.512	  1.000
       0:01.520	  1.000
       0:01.528	  1.000
       0:01.536	  1.000
       0:01.544	  1.000
       0:01.552	  1.000
       0:01.560	  1.000
       0:01.568	  1.000
       0:01.576	  1.000
       0:01.584	  1.000
       0:01.592	  1.000
       0:01.600	  1.000
       0:01.608	  1.000
       0:01.616	  1.000
       0:01.624	  1.000
       0:01.632	  0.989
       0:01.640	  0.978
       0:01.648	  0.959
       0:01.656	  0.939
       0:01.664	  0.919
       0:01.672	  0.898
       0:01.680	  0.879
       0:01.688	  0.859
       0:01.696	  0.841
       0:01.704	  0.823
       0:01.712	  0.804
       0:01.720	  0.785
       0:01.728	  0.764
       0:01.736	  0.745
       0:01.744	  0.726
       0:01.752	  0.708
       0:01.760	  0.691
       0:01.768	  0.674
       0:01.776	  0.657
       0:01.784	  0.639
       0:01.792	  0.624
       0:01.800	  0.607
       0:01.808	  0.592
       0:01.816	  0.578
       0:01.824	  0.565
       0:01.832	  0.552
       0:01.840	  0.543
       0:01.848	  0.533
       0:01.856	  0.525
       0:01.864	  0.517
       0:01.872	  0.510
       0:01.880	  0.504
       0:01.888	  0.500
       0:01.896	  0.496
       0:01.904	  0.492
       0:01.912	  0.488
       0:01.920	  0.485
       0:01.928	  0.482
       0:01.936	  0.479
       0:01.944	  0.477
       0:01.952	  0.475
       0:01.960	  0.473
       0:01.968	  0.471
       0:01.976	  0.470
       0:01.984	  0.468
       0:01.992	  0.467
       0:02.000	  0.465
       0:02.008	  0.464
       0:02.016	  0.461
       0:02.024	  0.459
       0:02.032	  0.456
       0:02.040	  0.454
       0:02.048	  0.449
       0:02.056	  0.445
       0:02.064	  0.439
       0:02.072	  0.434
       0:02.080	  0.428
       0:02.088	  0.422
       0:02.096	  0.414
       0:02.104	  0.407
       0:02.112	  0.397
       0:02.120	  0.387
       0:02.128	  0.376
       0:02.136	  0.366
       0:02.144	  0.354
       0:02.152	  0.342
       0:02.160	  0.331
       0:02.168	  0.322
       0:02.176	  0.313
       0:02.184	  0.303
       0:02.192	  0.295
       0:02.200	  0.287
       0:02.208	  0.281
       0:02.216	  0.274
       0:02.224	  0.268
       0:02.232	  0.263
       0:02.240	  0.259
       0:02.248	  0.255
       0:02.256	  0.253
       0:02.264	  0.251
       0:02.272	  0.250
       0:02.280	  0.250
       0:02.288	  0.251
       0:02.296	  0.252
       0:02.304	  0.253
       0:02.312	  0.255
       0:02.320	  0.256
       0:02.328	  0.258
       0:02.336	  0.259
       0:02.344	  0.260
       0:02.352	  0.259
       0:02.360	  0.259
       0:02.368	  0.257
       0:02.376	  0.256
       0:02.384	  0.254
       0:02.392	  0.252
       0:02.400	  0.249
       0:02.408	  0.246
       0:02.416	  0.241
       0:02.424	  0.238
       0:02.432	  0.233
       0:02.440	  0.227
       0:02.448	  0.221
       0:02.456	  0.215
       0:02.464	  0.208
       0:02.472	  0.202
       0:02.480	  0.196
       0:02.488	  0.192
       0:02.496	  0.188
       0:02.504	  0.183
       0:02.512	  0.179
       0:02.520	  0.175
       0:02.528	  0.171
       0:02.536	  0.168
       0:02.544	  0.165
       0:02.552	  0.163
       0:02.560	  0.161
       0:02.568	  0.159
       0:02.576	  0.158
       0:02.584	  0.157
       0:02.592	  0.155
       0:02.600	  0.154
       0:02.608	  0.153
       0:02.616	  0.152
       0:02.624	  0.152
       0:02.632	  0.151
       0:02.640	  0.150
       0:02.648	  0.149
       0:02.656	  0.148
       0:02.664	  0.147
       0:02.672	  0.145
       0:02.680	  0.143
       0:02.688	  0.141
       0:02.696	  0.138
       0:02.704	  0.134
       0:02.712	  0.131
       0:02.720	  0.127
       0:02.728	  0.123
       0:02.736	  0.118
       0:02.744	  0.112
       0:02.752	  0.106
       0:02.760	  0.099
       0:02.768	  0.091
       0:02.776	  0.083
       0:02.784	  0.075
       0:02.792	  0.066
       0:02.800	  0.060
       0:02.808	  0.053
       0:02.816	  0.048
       0:02.824	  0.042
       0:02.832	  0.037
       0:02.840	  0.032
       0:02.848	  0.027
       0:02.856	  0.023
       0:02.864	  0.022
       0:02.872	  0.020
       0:02.880	  0.020
       0:02.888	  0.020
       0:02.896	  0.022
       0:02.904	  0.026
       0:02.912	  0.031
       0:02.920	  0.037
       0:02.928	  0.045
       0:02.936	  0.053
       0:02.944	  0.063
       0:02.952	  0.072
       0:02.960	  0.083
       0:02.968	  0.094
       0:02.976	  0.105
       0:02.984	  0.115
       0:02.992	  0.127
       0:03.000	  0.139
       0:03.008	  0.152
       0:03.016	  0.165
       0:03.024	  0.177
       0:03.032	  0.189
       0:03.040	  0.200
       0:03.048	  0.211
       0:03.056	  0.223
       0:03.064	  0.235
       0:03.072	  0.247
       0:03.080	  0.260
       0:03.088	  0.274
       0:03.096	  0.287
       0:03.104	  0.301
       0:03.112	  0.315
       0:03.120	  0.327
       0:03.128	  0.339
       0:03.136	  0.350
       0:03.144	  0.361
       0:03.152	  0.372
       0:03.160	  0.384
       0:03.168	  0.397
       0:03.176	  0.410
       0:03.184	  0.420
       0:03.192	  0.432
       0:03.200	  0.442
       0:03.208	  0.452
       0:03.216	  0.462
       0:03.224	  0.474
       0:03.232	  0.487
       0:03.240	  0.499
       0:03.248	  0.512
       0:03.256	  0.526
       0:03.264	  0.540
       0:03.272	  0.554
       0:03.280	  0.567
       0:03.288	  0.580
       0:03.296	  0.592
       0:03.304	  0.605
       0:03.312	  0.619
       0:03.320	  0.632
       0:03.328	  0.646
       0:03.336	  0.661
       0:03.344	  0.674
       0:03.352	  0.687
       0:03.360	  0.699
       0:03.368	  0.711
       0:03.376	  0.721
       0:03.384	  0.733
       0:03.392	  0.744
       0:03.400	  0.756
       0:03.408	  0.767
       0:03.416	  0.778
       0:03.424	  0.789
       0:03.432	  0.801
       0:03.440	  0.810
       0:03.448	  0.820
       0:03.456	  0.830
       0:03.464	  0.840
       0:03.472	  0.851
       0:03.480	  0.862
       0:03.488	  0.875
       0:03.496	  0.888
       0:03.504	  0.899
       0:03.512	  0.912
       0:03.520	  0.923
       0:03.528	  0.935
       0:03.536	  0.947
       0:03.544	  0.960
       0:03.552	  0.975
       0:03.560	  0.988
       0:03.568	  0.994
       0:03.576	  1.000
       0:03.584	  1.000
       0:03.592	  1.000
       0:03.600	  1.000
       0:03.608	  1.000
       0:03.616	  1.000
       0:03.624	  1.000
       0:03.632	  1.000
       0:03.640	  1.000
       0:03.648	  1.000
       0:03.656	  1.000
       0:03.664	  1.000
       0:03.672	  1.000
       0:03.680	  1.000
       0:03.688	  1.000
       0:03.696	  1.000
       0:03.704	  1.000
       0:03.712	  1.000
       0:03.720	  1.000
       0:03.728	  1.000
       0:03.736	  1.000
       0:03.744	  1.000
       0:03.752	  1.000
       0:03.760	  1.000
       0:03.768	  1.000
       0:03.776	  1.000
       0:03.784	  1.000
       0:03.792	  1.000
       0:03.800	  1.000
       0:03.808	  1.000
       0:03.816	  1.000
       0:03.824	  1.000
       0:03.832	  1.000
       0:03.840	  1.000
       0:03.848	  1.000
       0:03.856	  1.000
       0:03.864	  1.000
       0:03.872	  1.000
       0:03.880	  1.000
       0:03.888	  1.000
       0:03.896	  1.000
       0:03.904	  1.000
       0:03.912	  1.000
       0:03.920	  0.992
       0:03.928	  0.983
       0:03.936	  0.962
       0:03.944	  0.940
       0:03.952	  0.915
       0:03.960	  0.891
       0:03.968	  0.862
       0:03.976	  0.835
       0:03.984	  0.809
       0:03.992	  0.783
       0:04.000	  0.759
       0:04.008	  0.734
       0:04.016	  0.709
       0:04.024	  0.683
       0:04.032	  0.657
       0:04.040	  0.630
       0:04.048	  0.605
       0:04.056	  0.579
       0:04.064	  0.554
       0:04.072	  0.530
       0:04.080	  0.508
       0:04.088	  0.487
       0:04.096	  0.468
       0:04.104	  0.449
       0:04.112	  0.433
       0:04.120	  0.416
       0:04.128	  0.403
       0:04.136	  0.388
       0:04.144	  0.377
       0:04.152	  0.367
       0:04.160	  0.358
       0:04.168	  0.350
       0:04.176	  0.343
       0:04.184	  0.336
       0:04.192	  0.331
       0:04.200	  0.326
       0:04.208	  0.324
       0:04.216	  0.321
       0:04.224	  0.319
       0:04.232	  0.317
       0:04.240	  0.315
       0:04.248	  0.313
       0:04.256	  0.312
       0:04.264	  0.311
       0:04.272	  0.309
       0:04.280	  0.308
       0:04.288	  0.306
       0:04.296	  0.304
       0:04.304	  0.303
       0:04.312	  0.302
       0:04.320	  0.300
       0:04.328	  0.299
       0:04.336	  0.298
       0:04.344	  0.296
       0:04.352	  0.295
       0:04.360	  0.293
       0:04.368	  0.293
       0:04.376	  0.293
       0:04.384	  0.294
       0:04.392	  0.295
       0:04.400	  0.296
       0:04.408	  0.297
       0:04.416	  0.299
       0:04.424	  0.301
       0:04.432	  0.304
       0:04.440	  0.308
       0:04.448	  0.313
       0:04.456	  0.317
       0:04.464	  0.322
       0:04.472	  0.326
       0:04.480	  0.329
       0:04.488	  0.333
       0:04.496	  0.338
       0:04.504	  0.343
       0:04.512	  0.348
       0:04.520	  0.353
       0:04.528	  0.357
       0:04.536	  0.361
       0:04.544	  0.364
       0:04.552	  0.367
       0:04.560	  0.368
       0:04.568	  0.370
       0:04.576	  0.370
       0:04.584	  0.370
       0:04.592	  0.369
       0:04.600	  0.367
       0:04.608	  0.363
       0:04.616	  0.359
       0:04.624	  0.355
       0:04.632	  0.351
       0:04.640	  0.346
       0:04.648	  0.341
       0:04.656	  0.333
       0:04.664	  0.326
       0:04.672	  0.317
       0:04.680	  0.307
       0:04.688	  0.295
       0:04.696	  0.284
       0:04.704	  0.272
       0:04.712	  0.260
       0:04.720	  0.249
       0:04.728	  0.239
       0:04.736	  0.229
       0:04.744	  0.219
       0:04.752	  0.209
       0:04.760	  0.200
       0:04.768	  0.192
       0:04.776	  0.183
       0:04.784	  0.176
       0:04.792	  0.169
       0:04.800	  0.163
       0:04.808	  0.158
       0:04.816	  0.153
       0:04.824	  0.150
       0:04.832	  0.147
       0:04.840	  0.143
       0:04.848	  0.140
       0:04.856	  0.137
       0:04.864	  0.134
       0:04.872	  0.131
       0:04.880	  0.128
       0:04.888	  0.125
       0:04.896	  0.122
       0:04.904	  0.119
       0:04.912	  0.114
       0:04.920	  0.110
       0:04.928	  0.106
       0:04.936	  0.100
       0:04.944	  0.096
       0:04.952	  0.091
       0:04.960	  0.086
       0:04.968	  0.082
       0:04.976	  0.076
       0:04.984	  0.070
       0:04.992	  0.063
       0:05.000	  0.055
       0:05.008	  0.048
       0:05.016	  0.040
       0:05.024	  0.033
       0:05.032	  0.026
       0:05.040	  0.022
       0:05.048	  0.016
       0:05.056	  0.012
       0:05.064	  0.008
       0:05.072	  0.006
       0:05.080	  0.003
       0:05.088	  0.003
       0:05.096	  0.002
       0:05.104	  0.003
       0:05.112	  0.004
       0:05.120	  0.006
       0:05.128	  0.009
       0:05.136	  0.013
       0:05.144	  0.018
       0:05.152	  0.024
       0:05.160	  0.031
       0:05.168	  0.040
       0:05.176	  0.050
       0:05.184	  0.062
       0:05.192	  0.073
       0:05.200	  0.084
       0:05.208	  0.096
       0:05.216	  0.108
       0:05.224	  0.119
       0:05.232	  0.133
       0:05.240	  0.147
       0:05.248	  0.160
       0:05.256	  0.175
       0:05.264	  0.188
       0:05.272	  0.201
       0:05.280	  0.213
       0:05.288	  0.225
       0:05.296	  0.238
       0:05.304	  0.250
       0:05.312	  0.263
       0:05.320	  0.276
       0:05.328	  0.289
       0:05.336	  0.302
       0:05.344	  0.316
       0:05.352	  0.329
       0:05.360	  0.341
       0:05.368	  0.354
       0:05.376	  0.365
       0:05.384	  0.376
       0:05.392	  0.388
       0:05.400	  0.401
       0:05.408	  0.413
       0:05.416	  0.427
       0:05.424	  0.440
       0:05.432	  0.452
       0:05.440	  0.464
       0:05.448	  0.476
       0:05.456	  0.490
       0:05.464	  0.502
       0:05.472	  0.517
       0:05.480	  0.533
       0:05.488	  0.548
       0:05.496	  0.564
       0:05.504	  0.580
       0:05.512	  0.596
       0:05.520	  0.610
       0:05.528	  0.625
       0:05.536	  0.637
       0:05.544	  0.650
       0:05.552	  0.664
       0:05.560	  0.677
       0:05.568	  0.692
       0:05.576	  0.708
       0:05.584	  0.720
       0:05.592	  0.734
       0:05.600	  0.747
       0:05.608	  0.761
       0:05.616	  0.774
       0:05.624	  0.788
       0:05.632	  0.803
       0:05.640	  0.818
       0:05.648	  0.834
       0:05.656	  0.849
       0:05.664	  0.866
       0:05.672	  0.882
       0:05.680	  0.896
       0:05.688	  0.911
       0:05.696	  0.925
       0:05.704	  0.937
       0:05.712	  0.952
       0:05.720	  0.967
       0:05.728	  0.981
       0:05.736	  0.997
       0:05.744	  0.998
       0:05.752	  1.000
       0:05.760	  1.000
       0:05.768	  1.000
       0:05.776	  1.000
       0:05.784	  1.000
       0:05.792	  1.000
       0:05.800	  1.000
       0:05.808	  1.000
       0:05.816	  1.000
       0:05.824	  1.000
       0:05.832	  1.000
       0:05.840	  1.000
       0:05.848	  1.000
       0:05.856	  1.000
       0:05.864	  1.000
       0:05.872	  1.000
       0:05.880	  1.000
       0:05.888	  1.000
       0:05.896	  1.000
       0:05.904	  1.000
       0:05.912	  1.000
       0:05.920	  1.000
       0:05.928	  1.000
       0:05.936	  1.000
       0:05.944	  1.000
       0:05.952	  1.000
       0:05.960	  1.000
       0:05.968	  1.000
       0:05.976	  1.000
       0:05.984	  1.000
       0:05.992	  1.000
       0:06.000	  1.000
       0:06.008	  1.000
       0:06.016	  1.000
       0:06.024	  1.000
       0:06.032	  1.000
       0:06.040	  1.000
       0:06.048	  1.000
       0:06.056	  1.000
       0:06.064	  1.000
       0:06.072	  1.000
       0:06.080	  0.983
       0:06.088	  0.967
       0:06.096	  0.946
       0:06.104	  0.927
       0:06.112	  0.904
       0:06.120	  0.882
       0:06.128	  0.858
       0:06.136	  0.835
       0:06.144	  0.810
       0:06.152	  0.787
       0:06.160	  0.764
       0:06.168	  0.742
       0:06.176	  0.722
       0:06.184	  0.702
       0:06.192	  0.681
       0:06.200	  0.662
       0:06.208	  0.642
       0:06.216	  0.623
       0:06.224	  0.605
       0:06.232	  0.587
       0:06.240	  0.573
       0:06.248	  0.557
       0:06.256	  0.544
       0:06.264	  0.530
       0:06.272	  0.517
       0:06.280	  0.503
       0:06.288	  0.493
       0:06.296	  0.482
       0:06.304	  0.473
       0:06.312	  0.464
       0:06.320	  0.456
       0:06.328	  0.450
       0:06.336	  0.443
       0:06.344	  0.437
       0:06.352	  0.432
       0:06.360	  0.427
       0:06.368	  0.423
       0:06.376	  0.419
       0:06.384	  0.416
       0:06.392	  0.413
       0:06.400	  0.411
       0:06.408	  0.409
       0:06.416	  0.408
       0:06.424	  0.406
       0:06.432	  0.406
       0:06.440	  0.405
       0:06.448	  0.405
       0:06.456	  0.406
       0:06.464	  0.406
       0:06.472	  0.407
       0:06.480	  0.407
       0:06.488	  0.407
       0:06.496	  0.407
       0:06.504	  0.407
       0:06.512	  0.406
       0:06.520	  0.405
       0:06.528	  0.403
       0:06.536	  0.401
       0:06.544	  0.398
       0:06.552	  0.395
       0:06.560	  0.391
       0:06.568	  0.388
       0:06.576	  0.382
       0:06.584	  0.377
       0:06.592	  0.370
       0:06.600	  0.363
       0:06.608	  0.354
       0:06.616	  0.346
       0:06.624	  0.336
       0:06.632	  0.327
       0:06.640	  0.320
       0:06.648	  0.311
       0:06.656	  0.303
       0:06.664	  0.296
       0:06.672	  0.289
       0:06.680	  0.283
       0:06.688	  0.278
       0:06.696	  0.273
       0:06.704	  0.269
       0:06.712	  0.266
       0:06.720	  0.263
       0:06.728	  0.261
       0:06.736	  0.260
       0:06.744	  0.259
       0:06.752	  0.259
       0:06.760	  0.259
       0:06.768	  0.258
       0:06.776	  0.258
       0:06.784	  0.258
       0:06.792	  0.258
       0:06.800	  0.257
       0:06.808	  0.256
       0:06.816	  0.255
       0:06.824	  0.254
       0:06.832	  0.250
       0:06.840	  0.247
       0:06.848	  0.243
       0:06.856	  0.239
       0:06.864	  0.235
       0:06.872	  0.231
       0:06.880	  0.226
       0:06.888	  0.221
       0:06.896	  0.215
       0:06.904	  0.210
       0:06.912	  0.202
       0:06.920	  0.196
       0:06.928	  0.189
       0:06.936	  0.182
       0:06.944	  0.175
       0:06.952	  0.167
       0:06.960	  0.161
       0:06.968	  0.156
       0:06.976	  0.152
       0:06.984	  0.148
       0:06.992	  0.144
       0:07.000	  0.141
       0:07.008	  0.138
       0:07.016	  0.135
       0:07.024	  0.134
       0:07.032	  0.132
       0:07.040	  0.131
       0:07.048	  0.131
       0:07.056	  0.131
       0:07.064	  0.132
       0:07.072	  0.133
       0:07.080	  0.134
       0:07.088	  0.135
       0:07.096	  0.136
       0:07.104	  0.136
       0:07.112	  0.137
       0:07.120	  0.137
       0:07.128	  0.137
       0:07.136	  0.137
       0:07.144	  0.137
       0:07.152	  0.136
       0:07.160	  0.135
       0:07.168	  0.133
       0:07.176	  0.131
       0:07.184	  0.128
       0:07.192	  0.126
       0:07.200	  0.124
       0:07.208	  0.121
       0:07.216	  0.117
       0:07.224	  0.113
       0:07.232	  0.108
       0:07.240	  0.103
       0:07.248	  0.096
       0:07.256	  0.090
       0:07.264	  0.082
       0:07.272	  0.075
       0:07.280	  0.069
       0:07.288	  0.064
       0:07.296	  0.060
       0:07.304	  0.056
       0:07.312	  0.052
       0:07.320	  0.049
       0:07.328	  0.046
       0:07.336	  0.043
       0:07.344	  0.041
       0:07.352	  0.039
       0:07.360	  0.038
       0:07.368	  0.037
       0:07.376	  0.036
       0:07.384	  0.036
       0:07.392	  0.036
       0:07.400	  0.036
       0:07.408	  0.037
       0:07.416	  0.038
       0:07.424	  0.040
       0:07.432	  0.042
       0:07.440	  0.045
       0:07.448	  0.048
       0:07.456	  0.052
       0:07.464	  0.056
       0:07.472	  0.061
       0:07.480	  0.065
       0:07.488	  0.071
       0:07.496	  0.077
       0:07.504	  0.083
       0:07.512	  0.090
       0:07.520	  0.097
       0:07.528	  0.103
       0:07.536	  0.111
       0:07.544	  0.120
       0:07.552	  0.130
       0:07.560	  0.141
       0:07.568	  0.152
       0:07.576	  0.165
       0:07.584	  0.179
       0:07.592	  0.193
       0:07.600	  0.205
       0:07.608	  0.219
       0:07.616	  0.231
       0:07.624	  0.243
       0:07.632	  0.258
       0:07.640	  0.272
       0:07.648	  0.286
       0:07.656	  0.302
       0:07.664	  0.316
       0:07.672	  0.329
       0:07.680	  0.343
       0:07.688	  0.356
       0:07.696	  0.370
       0:07.704	  0.385
       0:07.712	  0.401
       0:07.720	  0.416
       0:07.728	  0.433
       0:07.736	  0.449
       0:07.744	  0.466
       0:07.752	  0.483
       0:07.760	  0.498
       0:07.768	  0.513
       0:07.776	  0.527
       0:07.784	  0.542
       0:07.792	  0.554
       0:07.800	  0.568
       0:07.808	  0.581
       0:07.816	  0.593
       0:07.824	  0.604
       0:07.832	  0.615
       0:07.840	  0.625
       0:07.848	  0.633
       0:07.856	  0.642
       0:07.864	  0.651
       0:07.872	  0.659
       0:07.880	  0.668
       0:07.888	  0.676
       0:07.896	  0.685
       0:07.904	  0.694
       0:07.912	  0.704
       0:07.920	  0.714
       0:07.928	  0.722
       0:07.936	  0.732
       0:07.944	  0.742
       0:07.952	  0.753
       0:07.960	  0.764
       0:07.968	  0.777
       0:07.976	  0.790
       0:07.984	  0.803
       0:07.992	  0.815
       0:08.000	  0.828
       0:08.008	  0.841
       0:08.016	  0.854
       0:08.024	  0.868
       0:08.032	  0.883
       0:08.040	  0.897
       0:08.048	  0.913
       0:08.056	  0.929
       0:08.064	  0.945
       0:08.072	  0.961
       0:08.080	  0.976
       0:08.088	  0.989
       0:08.096	  0.995
       0:08.104	  1.000
       0:08.112	  1.000
       0:08.120	  1.000
       0:08.128	  1.000
       0:08.136	  1.000
       0:08.144	  1.000
       0:08.152	  1.000
       0:08.160	  1.000
       0:08.168	  1.000
       0:08.176	  1.000
       0:08.184	  1.000
       0:08.192	  1.000
       0:08.200	  1.000
       0:08.208	  1.000
       0:08.216	  1.000
       0:08.224	  1.000
       0:08.232	  1.000
       0:08.240	  1.000
       0:08.248	  1.000
       0:08.256	  1.000
       0:08.264	  1.000
       0:08.272	  1.000
       0:08.280	  1.000
       0:08.288	  1.000
       0:08.296	  1.000
       0:08.304	  1.000
       0:08.312	  1.000
       0:08.320	  1.000
       0:08.328	  1.000
       0:08.336	  1.000
       0:08.344	  1.000
       0:08.352	  1.000
       0:08.360	  1.000
       0:08.368	  1.000
       0:08.376	  1.000
       0:08.384	  1.000
       0:08.392	  1.000
       0:08.400	  1.000
       0:08.408	  1.000
       0:08.416	  1.000
       0:08.424	  1.000
       0:08.432	  1.000
       0:08.440	  1.000
       0:08.448	  1.000
       0:08.456	  1.000
       0:08.464	  1.000
       0:08.472	  1.000
       0:08.480	  1.000
       0:08.488	  1.000
       0:08.496	  0.975
       0:08.504	  0.948
       0:08.512	  0.915
       0:08.520	  0.882
       0:08.528	  0.848
       0:08.536	  0.812
       0:08.544	  0.778
       0:08.552	  0.744
       0:08.560	  0.714
       0:08.568	  0.683
       0:08.576	  0.657
       0:08.584	  0.630
       0:08.592	  0.607
       0:08.600	  0.584
       0:08.608	  0.562
       0:08.616	  0.541
       0:08.624	  0.523
       0:08.632	  0.505
       0:08.640	  0.490
       0:08.648	  0.475
       0:08.656	  0.463
       0:08.664	  0.451
       0:08.672	  0.441
       0:08.680	  0.431
       0:08.688	  0.423
       0:08.696	  0.415
       0:08.704	  0.409
       0:08.712	  0.402
       0:08.720	  0.396
       0:08.728	  0.390
       0:08.736	  0.384
       0:08.744	  0.379
       0:08.752	  0.373
       0:08.760	  0.368
       0:08.768	  0.362
       0:08.776	  0.356
       0:08.784	  0.350
       0:08.792	  0.345
       0:08.800	  0.340
       0:08.808	  0.335
       0:08.816	  0.330
       0:08.824	  0.326
       0:08.832	  0.322
       0:08.840	  0.317
       0:08.848	  0.313
       0:08.856	  0.310
       0:08.864	  0.308
       0:08.872	  0.306
       0:08.880	  0.305
       0:08.888	  0.304
       0:08.896	  0.304
       0:08.904	  0.304
       0:08.912	  0.305
       0:08.920	  0.306
       0:08.928	  0.308
       0:08.936	  0.310
       0:08.944	  0.313
       0:08.952	  0.315
       0:08.960	  0.319
       0:08.968	  0.322
       0:08.976	  0.326
       0:08.984	  0.329
       0:08.992	  0.334
       0:09.000	  0.339
       0:09.008	  0.344
       0:09.016	  0.348
       0:09.024	  0.353
       0:09.032	  0.358
       0:09.040	  0.361
       0:09.048	  0.365
       0:09.056	  0.368
       0:09.064	  0.370
       0:09.072	  0.370
       0:09.080	  0.371
       0:09.088	  0.370
       0:09.096	  0.370
       0:09.104	  0.369
       0:09.112	  0.367
       0:09.120	  0.365
       0:09.128	  0.362
       0:09.136	  0.356
       0:09.144	  0.351
       0:09.152	  0.343
       0:09.160	  0.335
       0:09.168	  0.326
       0:09.176	  0.318
       0:09.184	  0.308
       0:09.192	  0.299
       0:09.200	  0.289
       0:09.208	  0.281
       0:09.216	  0.273
       0:09.224	  0.264
       0:09.232	  0.256
       0:09.240	  0.248
       0:09.248	  0.240
       0:09.256	  0.234
       0:09.264	  0.228
       0:09.272	  0.222
       0:09.280	  0.218
       0:09.288	  0.214
